name,symbol,code
Uppercase A,A,&#65;
Uppercase B,B,&#66;
Uppercase C,C,&#67;
Uppercase D,D,&#68;
Uppercase E,E,&#69;
Uppercase F,F,&#70;
Uppercase G,G,&#71;
Uppercase H,H,&#72;
Uppercase I,I,&#73;
Uppercase J,J,&#74;
Uppercase K,K,&#75;
Uppercase L,L,&#76;
Uppercase M,M,&#77;
Uppercase N,N,&#78;
Uppercase O,O,&#79;
Uppercase P,P,&#80;
Uppercase Q,Q,&#81;
Uppercase R,R,&#82;
Uppercase S,S,&#83;
Uppercase T,T,&#84;
Uppercase U,U,&#85;
Uppercase V,V,&#86;
Uppercase W,W,&#87;
Uppercase X,X,&#88;
Uppercase Y,Y,&#89;
Uppercase Z,Z,&#90;
Lowercase a,a,&#97;
Lowercase b,b,&#98;
Lowercase c,c,&#99;
Lowercase d,d,&#100;
Lowercase e,e,&#101;
Lowercase f,f,&#102;
Lowercase g,g,&#103;
Lowercase h,h,&#104;
Lowercase i,i,&#105;
Lowercase j,j,&#106;
Lowercase k,k,&#107;
Lowercase l,l,&#108;
Lowercase m,m,&#109;
Lowercase n,n,&#110;
Lowercase o,o,&#111;
Lowercase p,p,&#112;
Lowercase q,q,&#113;
Lowercase r,r,&#114;
Lowercase s,s,&#115;
Lowercase t,t,&#116;
Lowercase u,u,&#117;
Lowercase v,v,&#118;
Lowercase w,w,&#119;
Lowercase x,x,&#120;
Lowercase y,y,&#121;
Lowercase z,z,&#122;
Uppercase A with Grave,À,&#192;
Uppercase A with Acute,Á,&#193;
Uppercase A with Circumflex,Â,&#194;
Uppercase A with Tilde,Ã,&#195;
Uppercase A with Umlaut,Ä,&#196;
Uppercase A with Ring,Å,&#197;
Uppercase AE,Æ,&#198;
Uppercase C with Cedilla,Ç,&#199;
Uppercase E with Grave,È,&#200;
Uppercase E with Acute,É,&#201;
Uppercase E with Circumflex,Ê,&#202;
Uppercase E with Umlaut,Ë,&#203;
Uppercase L with Grave,Ì,&#204;
Uppercase L with Acute,Í,&#205;
Uppercase L with Circumflex,Î,&#206;
Uppercase L with Umlaut,Ï,&#207;
Uppercase ETH,Ð,&#208;
Uppercase N with Tilde,Ñ,&#209;
Uppercase O with Grave,Ò,&#210;
Uppercase O with Acute,Ó,&#211;
Uppercase O with Circumflex,Ô,&#212;
Uppercase O with Tilde,Õ,&#213;
Uppercase O with Umlaut,Ö,&#214;
Uppercase O with Slash,Ø,&#216;
Uppercase U with Grave,Ù,&#217;
Uppercase U with Acute,Ú,&#218;
Uppercase U with Circumflex,Û,&#219;
Uppercase U with Umlaut,Ü,&#220;
Uppercase Y with Acute,Ý,&#221;
Uppercase THORN,Þ,&#222;
Lowercase ess-zed,ß,&#223;
Lowercase a with Grave,à,&#224;
Lowercase a with Acute,á,&#225;
Lowercase a with Circumflex,â,&#226;
Lowercase a with Tilde,ã,&#227;
Lowercase a with Umlaut,ä,&#228;
Lowercase a with Ring,å,&#229;
Lowercase ae,æ,&#230;
Lowercase c with Cedilla,ç,&#231;
Lowercase e with Grave,è,&#232;
Lowercase e with Acute,é,&#233;
Lowercase e with Circumflex,ê,&#234;
Lowercase e with Umlaut,ë,&#235;
Lowercase i with Grave,ì,&#236;
Lowercase i with Acute,í,&#237;
Lowercase i with Circumflex,î,&#238;
Lowercase i with Umlaut,ï,&#239;
Lowercase eth,ð,&#240;
Lowercase n with Tilde,ñ,&#241;
Lowercase o with Grave,ò,&#242;
Lowercase o with Acute,ó,&#243;
Lowercase o with Circumflex,ô,&#244;
Lowercase o with Tilde,õ,&#245;
Lowercase o with Umlaut,ö,&#246;
Lowercase o with Slash,ø,&#248;
Lowercase u with Grave,ù,&#249;
Lowercase u with Acute,ú,&#250;
Lowercase u with Circumflex,û,&#251;
Lowercase u with Umlaut,ü,&#252;
Lowercase y with Acute,ý,&#253;
Lowercase thorn,þ,&#254;
Lowercase y with Umlaut,ÿ,&#255;
Uppercase a With Macron,Ā,&#256;
Lowercase a With Macron,ā,&#257;
Uppercase a With Breve,Ă,&#258;
Lowercase a With Breve,ă,&#259;
Uppercase a With Ogonek,Ą,&#260;
Lowercase a With Ogonek,ą,&#261;
Uppercase C With Acute,Ć,&#262;
Lowercase C With Acute,ć,&#263;
Uppercase C With Circumflex,Ĉ,&#264;
Lowercase C With Circumflex,ĉ,&#265;
Uppercase C With Dot Above,Ċ,&#266;
Lowercase C With Dot Above,ċ,&#267;
Uppercase C With Caron,Č,&#268;
Lowercase C With Caron,č,&#269;
Uppercase D With Caron,Ď,&#270;
Lowercase D With Caron,ď,&#271;
Uppercase D With Stroke,Đ,&#272;
Lowercase D With Stroke,đ,&#273;
Uppercase E With Macron,Ē,&#274;
Lowercase E With Macron,ē,&#275;
Uppercase E With Breve,Ĕ,&#276;
Lowercase E With Breve,ĕ,&#277;
Uppercase E With Dot Above,Ė,&#278;
Lowercase E With Dot Above,ė,&#279;
Uppercase E With Ogonek,Ę,&#280;
Lowercase E With Ogonek,ę,&#281;
Uppercase E With Caron,Ě,&#282;
Lowercase E With Caron,ě,&#283;
Uppercase G With Circumflex,Ĝ,&#284;
Lowercase G With Circumflex,ĝ,&#285;
Uppercase G With Breve,Ğ,&#286;
Lowercase G With Breve,ğ,&#287;
Uppercase G With Dot Above,Ġ,&#288;
Lowercase G With Dot Above,ġ,&#289;
Uppercase G With Cedilla,Ģ,&#290;
Lowercase G With Cedilla,ģ,&#291;
Uppercase H With Circumflex,Ĥ,&#292;
Lowercase H With Circumflex,ĥ,&#293;
Uppercase H With Stroke,Ħ,&#294;
Lowercase H With Stroke,ħ,&#295;
Uppercase I With Tilde,Ĩ,&#296;
Lowercase I With Tilde,ĩ,&#297;
Uppercase I With Macron,Ī,&#298;
Lowercase I With Macron,ī,&#299;
Uppercase I With Breve,Ĭ,&#300;
